Severity,Type,Code,Source,Description,Count,Asset,Site,IsEv,CodeB,Causas,Recomendações,Peso,PesoSev,PesoReal,IC,Status de confiabilidade
Medium,Diagnostic,101--3,Engine #5,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),101--3,Not Available,Engine Crankcase Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,2.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABC00575,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,4.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Low,Event (J1939),102--3,Not Available,Engine Intake Manifold #1 Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),102--4,Not Available,Engine Intake Manifold #1 Pressure:Voltage Below Normal,2.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,44.0,ABA00133,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,14.6178024076853,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,1.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),105--3,Not Available,Engine Intake Manifold #1 Temperature:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Event (J1939),108--3,Not Available,Barometric Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),108--4,Not Available,Barometric Pressure:Voltage Below Normal,1.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Medium,Diagnostic,11--5,Engine,Cylinder #11 Injector:Current Below Normal,1.0,ABA00243,Lewis Hamilton,,,,,,10.0,,,Verde
Medium,Diagnostic,11--5,Engine,Cylinder #11 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
