Timestamp,ABB00235_Load,ABB00232_Load,UT1E,UT2E,Site,ABC00548_Load,ABC00547_Load,ABC00546_Load,UT3E,ABC00575_Load,ABC00576_Load,ABC00574_Load,ABA00243_Load,ABA00133_Load,ABA00223_Load,ABA00247_Load,UT4E,ABB00233_Load,ABB00230_Load,ABB00234_Load,ABB00231_Load,ABB00239_Load,ABB00240_Load
2021-11-29,34.0,41.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-11-30,77.0,56.0,8.3,75.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-01,62.0,59.0,8.3,50.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-02,59.0,51.0,4.2,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-03,50.0,51.0,0.0,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-04,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-05,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-06,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-07,52.0,43.0,0.0,12.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-08,34.0,31.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-09,20.0,27.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-10,10.0,32.0,12.5,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-11,14.0,13.0,0.0,70.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-12,18.0,17.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-13,17.0,15.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-14,13.0,11.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-15,15.0,18.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-16,14.0,13.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-17,36.0,30.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-18,56.0,53.0,37.5,50.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-19,27.0,33.0,45.8,54.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-20,29.0,25.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-21,35.0,33.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-22,21.0,20.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-23,23.0,24.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-24,32.0,32.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-25,17.0,17.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-26,30.0,34.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-27,31.0,34.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-28,49.0,38.0,29.2,33.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-29,48.0,40.0,8.3,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-30,28.0,29.0,12.5,70.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-12-31,24.0,19.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-01,27.0,23.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-02,42.0,34.0,0.0,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-03,44.0,34.0,4.2,62.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-04,30.0,27.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-05,41.0,32.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-06,47.0,37.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-07,38.0,40.0,12.5,87.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-08,53.0,42.0,0.0,58.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-09,45.0,34.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-10,43.0,38.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-11,51.0,42.0,0.0,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-12,44.0,37.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-13,32.0,38.0,20.8,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-14,38.0,32.0,8.3,70.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-15,38.0,38.0,29.2,70.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-16,43.0,32.0,4.2,75.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-17,28.0,26.0,20.8,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-18,48.0,40.0,4.2,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-19,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-20,37.0,32.0,4.2,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-21,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-22,24.0,,4.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-23,,,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-24,40.0,39.0,4.2,33.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-25,41.0,36.0,8.3,25.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-26,50.0,40.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-27,49.0,41.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-28,36.0,35.0,0.0,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-29,48.0,40.0,0.0,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-30,44.0,46.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-01-31,51.0,46.0,41.7,58.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-01,46.0,39.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-02,41.0,34.0,4.2,58.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-03,12.0,14.0,33.3,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-04,42.0,34.0,4.2,41.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-05,50.0,36.0,4.2,62.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-06,27.0,19.0,62.5,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-07,,6.0,29.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-08,,7.0,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-09,,8.0,70.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-10,18.0,7.0,62.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-11,13.0,,66.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-12,14.0,,75.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-13,19.0,21.0,54.2,4.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-14,17.0,,83.3,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-15,16.0,,50.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-16,21.0,14.0,37.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-17,24.0,24.0,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-18,18.0,,58.3,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-19,15.0,,70.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-20,21.0,26.0,66.7,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-21,44.0,23.0,33.3,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-22,46.0,43.0,12.5,45.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-23,51.0,24.0,37.5,45.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-24,,14.0,33.3,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-25,,10.0,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-26,,12.0,75.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-27,,11.0,75.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-02-28,24.0,8.0,70.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-01,19.0,,95.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-02,16.0,,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-03,18.0,13.0,87.5,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-04,34.0,22.0,62.5,37.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-05,22.0,,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-06,24.0,,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-07,23.0,10.0,95.8,4.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-08,,17.0,95.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-09,,16.0,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-10,,15.0,95.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-11,,13.0,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-12,39.0,17.0,45.8,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-13,19.0,,37.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-14,21.0,48.0,41.7,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-15,21.0,,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-16,21.0,,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-17,24.0,,87.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-18,18.0,,95.8,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-19,21.0,,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-20,16.0,,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-21,42.0,37.0,20.8,45.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-22,46.0,26.0,4.2,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-23,45.0,37.0,8.3,62.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-24,17.0,,50.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-25,17.0,,29.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-26,25.0,31.0,33.3,12.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-27,12.0,5.0,37.5,54.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-28,9.0,7.0,41.7,41.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-29,14.0,3.0,37.5,4.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-30,12.0,1.0,29.2,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-03-31,13.0,7.0,54.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-01,50.0,21.0,29.2,16.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-02,7.0,5.0,66.7,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-03,9.0,4.0,33.3,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-04,13.0,11.0,58.3,4.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-05,17.0,8.0,58.3,8.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-06,,12.0,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-07,6.0,15.0,45.8,16.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-08,46.0,20.0,45.8,16.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-09,,19.0,62.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-10,52.0,13.0,58.3,4.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-11,,12.0,41.7,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-12,,10.0,37.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-13,,16.0,29.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-14,13.0,6.0,16.7,20.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-15,22.0,14.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-16,22.0,14.0,29.2,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-17,,23.0,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-18,,27.0,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-19,50.0,31.0,66.7,33.3,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-20,45.0,37.0,0.0,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-21,49.0,38.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-22,52.0,39.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-23,54.0,37.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-24,54.0,35.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-25,51.0,36.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-26,54.0,33.0,8.3,37.5,Florianopolis,,,,,,,,,,,,,,,,,,
2022-04-27,49.0,28.0,8.3,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-07-01,,,50.0,50.0,Hendrix,27.0,29.0,9.0,0.0,,,,,,,,,,,,,,
2021-07-02,,,4.2,95.8,Hendrix,31.0,30.0,,0.0,,,,,,,,,,,,,,
2021-07-03,,,0.0,83.3,Hendrix,40.0,40.0,36.0,16.7,,,,,,,,,,,,,,
2021-07-04,,,100.0,0.0,Hendrix,,30.0,,0.0,,,,,,,,,,,,,,
2021-07-05,,,91.7,8.3,Hendrix,30.0,30.0,,0.0,,,,,,,,,,,,,,
2021-07-06,,,66.7,33.3,Hendrix,33.0,48.0,,0.0,,,,,,,,,,,,,,
2021-07-07,,,100.0,0.0,Hendrix,30.0,,,0.0,,,,,,,,,,,,,,
2021-07-08,,,37.5,62.5,Hendrix,27.0,25.0,,0.0,,,,,,,,,,,,,,
2021-07-09,,,75.0,25.0,Hendrix,24.0,30.0,,0.0,,,,,,,,,,,,,,
2021-07-10,,,75.0,25.0,Hendrix,30.0,30.0,,0.0,,,,,,,,,,,,,,
2021-07-11,,,100.0,0.0,Hendrix,30.0,,,0.0,,,,,,,,,,,,,,
2021-07-12,,,75.0,25.0,Hendrix,33.0,33.0,,0.0,,,,,,,,,,,,,,
2021-07-13,,,95.8,4.2,Hendrix,31.0,30.0,,0.0,,,,,,,,,,,,,,
2021-07-14,,,100.0,0.0,Hendrix,,31.0,,0.0,,,,,,,,,,,,,,
