Power Range (%),Time (%),Hours (h),Asset,Site
30-40%,23.15,643.2330390304638,ABB00239,SS Moretti
40-50%,11.75,326.4789722940799,ABB00239,SS Moretti
50-60%,4.18,116.14315780334074,ABB00239,SS Moretti
60-70%,0.5599999999999999,15.55984889231359,ABB00239,SS Moretti
70-80%,0.0,0.0,ABB00239,SS Moretti
80-90%,0.02,0.5557088890111997,ABB00239,SS Moretti
90-100%,0.0,0.0,ABB00239,SS Moretti
100-110%,0.0,0.0,ABB00239,SS Moretti
0-10%,0.1399999999999999,6.117018671388802,ABB00240,SS Moretti
10-20%,6.4,279.6351392634881,ABB00240,SS Moretti
20-30%,19.38,846.7701560822499,ABB00240,SS Moretti
30-40%,41.09,1795.3449800526134,ABB00240,SS Moretti
40-50%,20.35,889.1523568768722,ABB00240,SS Moretti
50-60%,11.48,501.5955310538818,ABB00240,SS Moretti
60-70%,1.04,45.44071013031682,ABB00240,SS Moretti
70-80%,0.0699999999999999,3.058509335694401,ABB00240,SS Moretti
80-90%,0.0,0.0,ABB00240,SS Moretti
90-100%,0.04,1.7477196203968008,ABB00240,SS Moretti
100-110%,0.0,0.0,ABB00240,SS Moretti
0-10%,2.26,9.311207448959989,ABC00546,Hendrix
10-20%,5.99,24.67881974303997,ABC00546,Hendrix
20-30%,29.43,121.25169700127988,ABC00546,Hendrix
30-40%,11.68,48.121638497279946,ABC00546,Hendrix
40-50%,15.8,65.09605207679994,ABC00546,Hendrix
50-60%,33.160000000000004,136.61930929535984,ABC00546,Hendrix
60-70%,0.26,1.071200856959999,ABC00546,Hendrix
70-80%,0.0,0.0,ABC00546,Hendrix
80-90%,0.04,0.1648001318399998,ABC00546,Hendrix
90-100%,1.39,5.7268045814399935,ABC00546,Hendrix
100-110%,0.0,0.0,ABC00546,Hendrix
0-10%,0.0,0.0,ABC00547,Hendrix
10-20%,0.58,29.15082332064,ABC00547,Hendrix
20-30%,64.24,3228.704982961919,ABC00547,Hendrix
30-40%,21.19,1065.01025200752,ABC00547,Hendrix
40-50%,9.13,458.87416709904,ABC00547,Hendrix
50-60%,4.74,238.23259058592,ABC00547,Hendrix
60-70%,0.12,6.031204824959999,ABC00547,Hendrix
70-80%,0.0,0.0,ABC00547,Hendrix
80-90%,0.0,0.0,ABC00547,Hendrix
90-100%,0.0,0.0,ABC00547,Hendrix
100-110%,0.0,0.0,ABC00547,Hendrix
0-10%,0.26,8.000206400160003,ABC00548,Hendrix
10-20%,1.76,54.15524332416002,ABC00548,Hendrix
20-30%,60.29,1855.1247840986407,ABC00548,Hendrix
30-40%,20.57,632.9394063511202,ABC00548,Hendrix
40-50%,11.69,359.7015877610401,ABC00548,Hendrix
50-60%,5.4,166.15813292640007,ABC00548,Hendrix
60-70%,0.03,0.9231007384800004,ABC00548,Hendrix
70-80%,0.0,0.0,ABC00548,Hendrix
80-90%,0.0,0.0,ABC00548,Hendrix
90-100%,0.0,0.0,ABC00548,Hendrix
100-110%,0.0,0.0,ABC00548,Hendrix
0-10%,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
10-20%,7.19,23.71543508344398,ABC00574,Ilhas Maldivas
20-30%,38.89,128.2744465083639,ABC00574,Ilhas Maldivas
30-40%,13.73,45.28691567394796,ABC00574,Ilhas Maldivas
40-50%,22.22,73.29025974327195,ABC00574,Ilhas Maldivas
50-60%,9.48,31.268751681647974,ABC00574,Ilhas Maldivas
60-70%,3.27,10.78574029525199,ABC00574,Ilhas Maldivas
70-80%,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
80-90%,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
90-100%,4.25,14.018163992299987,ABC00574,Ilhas Maldivas
100-110%,0.0,0.0,ABC00574,Ilhas Maldivas
0-10%,0.0699999999999999,3.0723024578399976,ABC00575,Ilhas Maldivas
10-20%,1.0699999999999998,46.96233756983995,ABC00575,Ilhas Maldivas
20-30%,62.02,2722.0599776462377,ABC00575,Ilhas Maldivas
30-40%,22.51,987.9646903711192,ABC00575,Ilhas Maldivas
40-50%,10.18,446.8005574401597,ABC00575,Ilhas Maldivas
50-60%,3.61,158.4430267543199,ABC00575,Ilhas Maldivas
60-70%,0.43,18.872715098159983,ABC00575,Ilhas Maldivas
70-80%,0.0699999999999999,3.0723024578399976,ABC00575,Ilhas Maldivas
80-90%,0.0,0.0,ABC00575,Ilhas Maldivas
90-100%,0.05,2.1945017555999984,ABC00575,Ilhas Maldivas
100-110%,0.0,0.0,ABC00575,Ilhas Maldivas
0-10%,0.0,0.0,ABC00576,Ilhas Maldivas
10-20%,0.67,24.917319933839984,ABC00576,Ilhas Maldivas
20-30%,55.08,2048.4268387401585,ABC00576,Ilhas Maldivas
30-40%,27.37,1017.8911143122392,ABC00576,Ilhas Maldivas
40-50%,12.89,479.3794835032796,ABC00576,Ilhas Maldivas
50-60%,3.43,127.5618020493599,ABC00576,Ilhas Maldivas
60-70%,0.54,20.082616066079986,ABC00576,Ilhas Maldivas
70-80%,0.03,1.1157008925599992,ABC00576,Ilhas Maldivas
80-90%,0.0,0.0,ABC00576,Ilhas Maldivas
90-100%,0.0,0.0,ABC00576,Ilhas Maldivas
100-110%,0.0,0.0,ABC00576,Ilhas Maldivas
