Timestamp,ABC00575_Load,ABC00576_Load,ABC00574_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-12-02,26.0,30.0,23.0,1.0,70.8,25.0,4.2,Ilhas Maldivas
2021-12-03,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-04,30.0,28.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-12-05,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-06,35.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-07,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-08,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-09,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-10,30.0,30.0,,1.0,83.3,8.3,0.0,Ilhas Maldivas
2021-12-11,34.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-12,36.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-13,40.0,36.0,32.0,2.0,29.2,70.8,0.0,Ilhas Maldivas
2021-12-14,33.0,28.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-12-15,27.0,28.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-12-16,48.0,46.0,,2.0,4.2,95.8,0.0,Ilhas Maldivas
2021-12-17,35.0,48.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-12-18,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-19,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-20,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-21,30.0,45.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-12-22,32.0,32.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-12-23,,30.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-24,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-25,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-26,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-27,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-28,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-29,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-30,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-31,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
