Timestamp,Batt,Fuel Filter Differential Pressure [kPa],EXH_R,Load,Total_Fuel,Fuel_Rate,Boost,Fuel_Press,EXH_L,Throttle Position [%],Oil Filter Differential Pressure [kPa],Oil_Press,RPM,Coolant_Temp,Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],SMH,Run Status,DIAG_STATS,EVENT_STATS,Cumulative Max Fuel Usage [L],Engine Code Description,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-09-03,27.0,64.85416666666667,433.0416666666667,34.791666666666664,16470.555498125,104.0937515511177,35.708333333333336,494.7916666666667,362.0833333333333,88.8000013232231,1.2916666666666667,548.125,1797.9375,79.91666666666667,,,,167.24915648440333,,,,,,0.9566225245566665,1678.0,583.8041666666667,151.80230331240617,102.32436406250008,70.95833333333333,TTG00231,Martin Vaz
2021-09-04,27.0,68.88888888888889,431.1111111111111,31.666666666666668,18112.135347222225,100.33889038405488,34.333333333333336,505.1111111111111,361.3333333333333,88.8000013232231,,560.0,1799.2777777777778,79.55555555555556,,,,183.511535698,,,,,,0.8761118119999985,1678.0,531.3666666666667,161.24693042388435,104.8348269444444,69.77777777777777,TTG00231,Martin Vaz
2021-09-05,27.0,61.875,423.8125,34.0625,19411.58248,95.8468764282297,31.25,493.15625,350.8125,88.8000013232231,72.78125,476.78125,1798.28125,79.25,,,,197.10643685169,,,,,,0.964389747205626,1678.0,571.56875,142.35463041145698,96.7941166406249,73.0,TTG00231,Martin Vaz
2021-09-06,27.0,69.3125,423.375,33.125,21346.715617083333,96.54375143861394,31.125,498.9375,351.4166666666667,88.8000013232231,72.60416666666667,473.7291666666667,1798.0833333333333,79.45833333333333,,,,217.27830913996857,,,,,,0.9569939534252375,1678.0,555.8375,148.4056432629669,97.15885666666661,71.95833333333333,TTG00231,Martin Vaz
2021-09-07,27.0,65.6590909090909,338.3333333333333,23.272727272727273,23401.23255590909,68.12954646975474,16.25,477.40909090909093,285.54545454545456,56.70909175412219,62.47727272727273,458.9318181818182,1384.340909090909,77.68181818181819,,,,240.60171051873246,,,,,,0.9251197028317804,1093.1602272727273,306.1739772727273,350.07529928533694,65.31983051136376,49.57142857142857,TTG00231,Martin Vaz
2021-09-08,27.0,69.88888888888889,327.44444444444446,21.555555555555557,24197.39222277778,62.944445382389745,14.38888888888889,481.44444444444446,282.8888888888889,53.51111190848878,61.611111111111114,460.27777777777777,1344.9444444444443,77.66666666666667,,,,255.85763369828888,,,,,,0.8417259820222208,1050.8677777777777,268.16942222222224,329.8924338737993,64.29939486111107,44.55555555555556,TTG00231,Martin Vaz
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTG00231,Martin Vaz
2021-09-10,27.0,56.142857142857146,379.42857142857144,31.285714285714285,24861.6265275,75.75714398601221,17.357142857142858,480.2142857142857,350.57142857142856,57.31428656833513,63.57142857142857,462.64285714285717,1393.0714285714287,78.0,,,,265.17887007943426,,,,,,0.9126666031485716,1293.3885714285714,411.1937428571428,158.25697115705566,78.41206428571397,28.857142857142858,TTG00231,Martin Vaz
2021-09-11,27.0,60.8125,381.3333333333333,29.875,25896.8178684375,77.18333448345462,19.833333333333332,483.1666666666667,335.5,66.05000098422168,65.27083333333333,464.6875,1503.6041666666667,78.375,,,,280.90517564988664,,,,,,0.9599206753433336,1349.500625,412.5976,165.7909540187552,76.12222921875006,45.833333333333336,TTG00231,Martin Vaz
2021-09-12,27.0,71.95652173913044,427.0,34.130434782608695,28036.454009076086,99.2173927828022,32.71739130434783,506.1521739130435,355.60869565217394,88.8000013232231,71.82608695652173,471.2173913043478,1797.5217391304348,80.1304347826087,,,,304.38655462016,,,,,,0.9601229903200009,1678.0,572.7086956521739,147.33976613777085,99.30529385869569,71.3913043478261,TTG00231,Martin Vaz
