Timestamp,Fuel_Press,Oil Filter Differential Pressure [kPa],Aftercooler Temperature [Deg. C],Coolant_Temp,Fuel_Rate,Oil_Temp,Throttle Position [%],Boost,EXH_L,Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],RPM,EXH_R,Fuel Filter Differential Pressure [kPa],Engine Acceleration Rate [REUSE],Fuel Position,FRC Fuel Limit,Batt,Right Turbo Inlet Pressure (absolute) [kPa],Crank_Press,Load,Total_Fuel,Left Turbo Inlet Pressure (absolute) [kPa],Peak Air Filter Restriction [kPa],Oil_Press,Turbo Outlet Pressure (absolute) [kPa],SMH,Cumulative Max Fuel Usage [L],Cumulative Idle Time [Hrs],Cumulative Fuel Used Daily [L],Cumulative Idle Fuel Usage [L],Run Status,EVENT_STATS,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-02-11,493.8958333333333,71.77083333333333,28.208333333333332,81.20833333333333,144.920835492822,90.20833333333333,79.38333451623716,108.85416666666667,390.875,0.7708333448196449,1.508333355809251,1800.3125,410.2083333333333,8.125,250.0,114.56458504047878,400.000005960464,26.0,100.0,,35.583333333333336,3974339.4600520837,99.29166666666667,2.4166666666666665,443.4583333333333,203.625,33068.982407545715,,,,,,,,0.8456355971432762,1632.0,580.7199999999999,206.94818256436903,134.42664062499534,19.333333333333332,SLM00547,Jim O'Brien
2022-02-12,501.03846153846155,71.38461538461539,28.846153846153847,81.07692307692308,134.17307892241155,90.0,79.38461656753833,147.57692307692307,379.2307692307692,0.4076923137673964,0.20769231078716396,1801.7307692307693,400.46153846153845,10.23076923076923,250.0,109.08846316400634,400.0000059604641,26.0,100.5,,33.23076923076923,3976826.784326923,100.61538461538461,1.4230769230769231,441.4230769230769,244.1153846153846,33087.61240413468,,,,,,,,0.7746526343734541,1632.0,542.3261538461538,208.26048934093723,146.41399038461253,21.23076923076923,SLM00547,Jim O'Brien
2022-02-13,504.1666666666667,70.83333333333333,29.5,81.70833333333333,163.9520857764098,90.0,80.05000119283795,55.291666666666664,435.4583333333333,0.46250000689178705,0.39166667250295456,1801.2291666666667,458.3333333333333,19.125,250.0,124.40625185379754,400.000005960464,26.0,100.33333333333333,,39.166666666666664,3979851.326875,100.47916666666667,1.0,430.2083333333333,154.97916666666666,33107.013758317094,,,,,,,,0.9536371265454969,1632.0,639.1999999999999,215.85743359287548,163.22812500000387,22.875,SLM00547,Jim O'Brien
2022-02-14,513.7142857142857,69.78571428571429,29.0,81.42857142857143,112.485715961882,90.0,78.6857154582228,26.214285714285715,334.2857142857143,0.34285714796611205,0.328571433467524,1801.7142857142858,356.7142857142857,21.0,250.0,98.26428717853767,400.000005960464,26.0,100.5,,29.0,3982188.5643749996,100.5,1.0,434.57142857142856,125.28571428571429,33122.39013425454,,,,,,,,0.9090916363628432,1632.0,473.28000000000003,202.0644297155844,115.44250000002128,22.428571428571427,SLM00547,Jim O'Brien
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00547,Jim O'Brien
2022-02-16,515.8,70.5,29.0,81.0,102.9800015345216,90.0,78.4800011694431,22.2,321.2,0.3200000047683712,0.3200000047683712,1800.5,336.0,20.2,250.0,94.61000140979885,400.000005960464,26.0,100.7,,27.2,3982860.118,100.6,0.5,439.9,121.0,33129.56334573474,,,,,,,,0.9684218273701845,1632.0,443.904,197.20017930535468,108.53487499998883,14.8,SLM00547,Jim O'Brien
2022-02-17,510.8478260869565,70.08695652173913,29.347826086956523,80.95652173913044,122.20434964707363,89.56521739130434,78.93913161106731,32.84782608695652,360.04347826086956,0.37391304904999917,0.3478260921395341,1801.0652173913043,377.39130434782606,19.67391304347826,250.0,104.19565372654927,400.000005960464,26.0,100.5,,31.26086956521739,3984650.41888587,100.5,0.5,434.95652173913044,133.6086956521739,33143.29067937106,,,,,,,,0.8879946081828878,1632.0,510.17739130434785,200.06189896345305,120.56459239131325,17.347826086956523,SLM00547,Jim O'Brien
2022-02-18,512.6875,69.97916666666667,28.916666666666668,81.125,116.1104183968467,90.0,78.80000117421149,26.958333333333332,344.875,0.3916666725029545,0.350000005215406,1801.4375,368.125,20.333333333333332,250.0,99.68750148545952,400.000005960464,26.0,100.04166666666667,,29.708333333333332,3987277.97,100.0625,0.5,433.7083333333333,127.58333333333333,33166.0265328,,,,,,,,0.9600007680000999,1632.0,484.84,203.38958332825393,114.98908854165347,23.25,SLM00547,Jim O'Brien
2022-02-19,512.875,70.04166666666667,28.833333333333332,81.125,111.60833499642712,90.0,78.56666783740123,25.416666666666668,338.5416666666667,0.4000000059604641,0.3333333383003867,1800.6458333333333,362.5416666666667,20.5,250.0,98.30625146487732,400.000005960464,26.0,100.3125,,29.041666666666668,3990043.7207552083,100.35416666666667,0.5,433.7083333333333,124.77083333333333,33190.026552,,,,,,,,0.9600007680000999,1632.0,473.96,200.12284503935675,113.88513020833489,24.0,SLM00547,Jim O'Brien
2022-02-20,510.7708333333333,70.35416666666667,29.041666666666668,81.16666666666667,122.60208516024674,90.0,78.91666784261663,30.25,356.6666666666667,0.3500000052154062,0.3583333386729159,1800.4166666666667,375.9583333333333,20.5625,250.0,103.68750154506414,400.000005960464,26.0,100.64583333333333,,31.0,3992976.9577604164,100.64583333333333,0.9375,432.9375,132.35416666666666,33214.026571200004,,,,,,,,0.9600007680000999,1632.0,505.92,204.2350588637183,120.92286458334031,19.291666666666668,SLM00547,Jim O'Brien
2022-02-21,513.375,70.0625,28.875,81.04166666666667,107.03958492834738,90.0,78.5500011704862,22.833333333333332,328.0416666666667,0.31666667138536736,0.3208333381141222,1801.0208333333333,342.2916666666667,20.895833333333332,250.0,96.11666809891663,400.000005960464,26.0,100.85416666666667,,28.375,3995598.4645312503,100.8125,1.0,433.6666666666667,124.22916666666667,33238.026590400004,,,,,,,,0.9600007680000999,1632.0,463.08,196.27339714862396,107.85278645833023,14.25,SLM00547,Jim O'Brien
2022-02-22,512.875,70.29166666666667,29.0,80.95833333333333,109.14791829309746,90.0,78.4666678359111,24.104166666666668,332.75,0.31666667138536736,0.3208333381141222,1800.6041666666667,349.0833333333333,20.833333333333332,250.0,97.21666811530787,400.000005960464,26.0,100.70833333333333,,28.5,3998170.2734635416,100.70833333333333,1.0,433.3333333333333,124.4375,33262.019942928004,,,,,,,,0.9566674320000553,1632.0,465.11999999999995,199.3097337869137,109.09473958334031,16.333333333333332,SLM00547,Jim O'Brien
2022-02-23,511.03333333333336,70.7,29.266666666666666,81.13333333333334,123.03666850005587,90.0,78.72000117301938,30.733333333333334,363.0,0.3600000053644178,0.33333333830038664,1800.0666666666666,381.8666666666667,19.7,250.0,104.41666822259624,400.00000596046397,26.0,100.5,,31.266666666666666,4000357.952208333,100.5,0.8666666666666667,432.96666666666664,131.86666666666667,33281.75585615262,,,,,,,,0.9357272443075393,1632.0,510.272,202.95210267099384,129.69933333331718,18.866666666666667,SLM00547,Jim O'Brien
2022-02-24,503.46153846153845,72.26923076923077,26.692307692307693,81.3076923076923,139.82692516050662,89.76923076923077,79.3230781050829,40.92307692307692,390.2307692307692,0.39230769815353245,0.35384615911887213,1800.8461538461538,411.84615384615387,21.846153846153847,250.0,112.40384782879393,400.0000059604641,26.03846153846154,100.46153846153847,,34.61538461538461,4002450.833990385,100.65384615384616,0.5384615384615384,435.2692307692308,141.5,33296.543678633745,,,,,,,,0.8990539736808457,1632.0,564.9230769230769,201.22808641378575,137.02427884617535,22.076923076923077,SLM00547,Jim O'Brien
2022-02-25,502.7708333333333,72.75,26.666666666666668,80.79166666666667,101.3729181772408,90.0,78.70000117272137,18.625,313.1666666666667,0.26250000391155454,0.18750000279396753,1802.7083333333333,319.375,20.625,250.0,93.89791806585464,400.000005960464,26.0,100.95833333333333,,27.166666666666668,4004391.118098958,101.02083333333333,1.0,443.25,120.89583333333333,33315.02665199999,,,,,,,,0.9600007680000999,1632.0,443.35999999999996,192.7357389562466,102.05700520831549,6.875,SLM00547,Jim O'Brien
2022-02-26,489.2708333333333,74.125,29.708333333333332,81.41666666666667,157.29375234385952,90.0,79.81666785602768,52.5,416.25,0.512500007636845,0.32083333811412246,1802.0208333333333,434.9583333333333,23.645833333333332,250.0,120.94583513556661,400.000005960464,26.0,100.85416666666667,,37.708333333333336,4007860.484583333,100.97916666666667,1.0,436.1875,154.5625,33339.026671199994,,,,,,,,0.9600007680000999,1632.0,615.4,212.6634236099022,157.05778645834653,20.041666666666668,SLM00547,Jim O'Brien
2022-02-27,495.6458333333333,73.4375,30.166666666666668,81.08333333333333,128.2270852440657,90.20833333333333,79.35000118240714,35.916666666666664,376.4166666666667,0.43750000651925786,0.2833333375553288,1801.9375,383.125,24.229166666666668,250.0,107.89166827437784,400.000005960464,26.0,100.6875,,32.708333333333336,4011257.7389322915,100.875,1.0,438.3958333333333,137.125,33363.026690399995,,,,,,,,0.9600007680000999,1632.0,533.8000000000001,196.57900032664395,129.26169270831937,12.458333333333334,SLM00547,Jim O'Brien
2022-02-28,498.9791666666667,73.125,29.875,80.95833333333333,110.02500163950025,90.125,78.76666784038146,23.25,335.375,0.4000000059604641,0.2583333371827997,1801.3958333333333,348.0416666666667,24.125,250.0,98.3062514648772,400.000005960464,26.0,100.60416666666667,,28.916666666666668,4013798.538463542,100.8125,1.0,439.9375,124.20833333333333,33387.026709599995,,,,,,,,0.9600007680000999,1632.0,471.92,194.93572547508145,110.35640625001786,13.666666666666666,SLM00547,Jim O'Brien
2022-03-01,499.2708333333333,73.27083333333333,29.875,80.875,111.56875166250391,90.0,78.61666783814628,23.8125,340.5833333333333,0.37916667231669,0.2666666706403094,1800.8541666666667,354.875,24.208333333333332,250.0,98.88125147344545,400.000005960464,26.0,100.5,,29.0,4016648.328046875,100.6875,1.0,439.25,125.22916666666667,33411.026728799996,,,,,,,,0.9600007680000999,1632.0,473.28,198.1951163168329,114.47653645831936,14.375,SLM00547,Jim O'Brien
2022-03-02,501.0208333333333,73.29166666666667,29.875,80.875,104.61666822557648,90.0,78.51666783665615,18.583333333333332,326.1666666666667,0.35000000521540614,0.25000000372529,1800.6666666666667,342.8333333333333,24.416666666666668,250.0,94.99791808224592,400.000005960464,26.0,100.64583333333333,,27.708333333333332,4019230.604869792,100.8125,1.0,439.7291666666667,119.14583333333333,33435.026748,,,,,,,,0.9600007680000999,1632.0,452.2,195.7799611390581,107.69507812501008,17.5,SLM00547,Jim O'Brien
