Timestamp,Left Turbo Inlet Pressure (absolute) [kPa],Total_Fuel,Throttle Position [%],RPM,Total Operating Hours [Hours],Fuel Position,Boost,Fuel_Press,Batt,Fuel Filter Differential Pressure [kPa],EXH_L,Load,Crank_Press,Coolant_Temp,Oil_Temp,EXH_R,Oil_Press,Atmospheric Pressure [kPa],Inlet Air Temperature [Deg. C],Peak Air Filter Restriction [kPa],Aftercooler Temperature [Deg. C],Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],Oil Filter Differential Pressure [kPa],Fuel_Rate,SMH,Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Longitude,Heading [Degrees],Speed [km/h],Engine Code Description,Run Status,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-03-01,101.0,210684.41666666666,88.80000132000002,1799.8541666666667,37145.55221625,113.0906266875,79.359375,520.9895833333334,25.5,25.989583333333332,424.2083333333333,30.75,0.32916667129166666,83.54166666666667,89.91666666666667,396.9166666666667,489.03125,101.51041666666667,36.604167213333334,3.3125,32.25,1.9979166964166666,0.5083333406041667,78.375,119.25000177708334,37145.909864727364,,,,,,,,,,0.29624172839415525,1678.0,515.985,196.13088687988633,15.611979166666666,28.041666666666668,TTG00233,Macaé
2022-03-02,101.07291666666667,211401.66927083334,88.80000132000002,1800.6145833333333,37169.55217708334,110.10833497291667,52.875,520.9791666666666,25.5,25.864583333333332,419.2916666666667,29.333333333333332,0.27500000383333334,83.58333333333333,89.85416666666667,390.25,489.0208333333333,101.65625,36.552083878541666,3.5,32.0,2.3395833681666667,0.5479166746458334,78.625,112.62083501145833,37169.136965917605,,,,,,,,,,0.26968808988749515,1678.0,492.2133333333333,194.38293210649354,14.856770833333334,29.041666666666668,TTG00233,Macaé
2022-03-03,101.0,212125.36458333334,88.80000132000002,1799.7083333333333,37193.55220041666,111.53021000625,49.794117647058826,519.9479166666666,25.5,26.0,422.2291666666667,29.979166666666668,0.28333333725,83.9375,90.125,395.0208333333333,488.4479166666667,101.60416666666667,36.191667206041664,3.65625,31.9375,2.41458336925,0.6166666757291667,78.69791666666667,115.84896005833333,37193.4404790991,,,,,,,,,,0.32435459459444854,1678.0,503.05041666666665,195.72719802023798,15.294270833333334,27.208333333333332,TTG00233,Macaé
2022-03-04,101.0,212718.0312133216,88.80000132,1799.157894736842,37210.3021831579,110.18684374210527,74.67647058823529,520.2368421052631,25.5,26.57894736842105,419.7894736842105,29.31578947368421,-1979.6166962692294,83.78947368421052,90.10526315789474,390.5263157894737,488.63157894736844,101.5,-1965.3416960564582,4.0,31.789473684210527,2.2947368762105262,0.6263157986842105,78.78947368421052,111.5394753368421,37212.988520109204,,,,,,,,,,0.1249061391131363,1678.0,491.918947368421,192.56782839173957,5.613593016432181,29.263157894736842,TTG00233,Macaé
2022-03-05,,212775.93397887322,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37215.17644,,,,,,,,,,,,,,0.11091549295755006,,TTG00233,Macaé
2022-03-06,,212781.2579225352,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37215.17644,,,,,,,,,,,,,,0.11091549295755006,,TTG00233,Macaé
2022-03-07,101.08064516129032,212938.89447857355,88.80000132,1800.1612903225807,37223.14134645161,112.58548556451613,50.357142857142854,519.3064516129032,25.5,24.451612903225808,425.1290322580645,30.387096774193548,-1115.3000166779575,85.45161290322581,91.7741935483871,399.03225806451616,499.5,101.7258064516129,-1090.123420557447,2.5,33.45161290322581,2.2129032587419353,0.6129032348064516,77.7741935483871,118.01451788387098,37220.62923890397,,,,,,,,,,0.18988694337508122,1678.0,509.89548387096767,196.71331724301902,10.3382903805815,26.096774193548388,TTG00233,Macaé
2022-03-08,101.10526315789474,213511.3162311506,88.80000132,1800.0263157894738,37235.64128105263,116.83158066842105,81.34615384615384,517.421052631579,25.5,21.526315789473685,434.36842105263156,32.578947368421055,-1952.0021568491704,87.3157894736842,93.52631578947368,409.3157894736842,489.57894736842104,101.78947368421052,-1936.3298161906382,2.5,33.94736842105263,2.047368451578947,0.6105263247894737,77.89473684210526,127.5631598,37238.59306968373,,,,,,,,,,0.10874839562940054,1678.0,546.6747368421053,198.36060808499806,6.51099979343138,25.05263157894737,TTG00233,Macaé
2022-03-09,,213579.85618932042,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37240.67646,,,,,,,,,,,,,,0.1686893203877844,,TTG00233,Macaé
2022-03-10,101.06666666666666,213653.7815803124,88.80000132,1800.5666666666666,37244.41807,113.62666835,21.15,519.3333333333334,25.5,22.766666666666666,426.6666666666667,31.0,-2252.7167003530208,81.13333333333334,87.4,405.26666666666665,501.06666666666666,101.5,-2241.045866845625,3.2666666666666666,32.8,1.906666695,0.5733333416,73.4,120.48000179133332,37243.04241255918,,,,,,,,,,0.10102318961329122,1678.0,520.18,195.96410434449845,4.834904967898789,21.4,TTG00233,Macaé
