Timestamp,RPM,Batt,Fuel Filter Differential Pressure [kPa],Total Operating Hours [Hours],Throttle Position [%],EXH_L,Right Air Filter Restriction [kPa],Fuel_Rate,Oil_Temp,Boost,Load,EXH_R,Crank_Press,Total_Fuel,Fuel Position,Atmospheric Pressure [kPa],Fuel_Press,FRC Fuel Limit,Oil_Press,Coolant_Temp,Aftercooler Temperature [Deg. C],Inlet Air Temperature [Deg. C],Left Air Filter Restriction [kPa],Latitude,Longitude,Speed [km/h],Heading [Degrees],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],SMH,DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-12-15,1804.1041666666667,23.5,46.864583333333336,29675.80346708538,89.20000132918362,460.2916666666667,0.2520833370896674,121.83541848215584,90.54166666666667,18.145833333333332,33.625,407.4791666666667,,254596529.4296875,114.35312670399433,101.01041666666667,473.6041666666667,188.99479448290865,460.2291666666667,84.54166666666667,28.270833333333332,37.25416722179701,0.3145833380209899,,,,,,,,29675.679774033313,,,0.4891640963428472,1678.0,564.2275,186.63573944939992,16.2265625,52.8125,ABB00240,SS Moretti
2021-12-16,1803.1145833333333,23.5,59.083333333333336,29699.807096382374,89.20000132918362,457.7708333333333,0.2833333375553287,121.33750180806966,90.5625,17.729166666666668,32.9375,409.625,,254597312.89322916,114.16354336783606,101.0,471.9583333333333,188.8135444802078,460.0625,84.54166666666667,28.104166666666668,37.03541721853738,0.3291666715716319,,,,,,,,29699.111477806782,,,0.4599010626477593,1678.0,552.69125,188.89750368734425,15.934895833333334,48.145833333333336,ABB00240,SS Moretti
2021-12-17,1804.2291666666667,23.5,72.57291666666667,29723.810673595985,89.20000132918362,489.7708333333333,0.3604166720372934,142.43958545584852,91.02083333333333,27.177083333333332,38.1875,429.2291666666667,,254598063.40364584,123.25416850329687,101.17708333333333,468.2916666666667,199.3406279704068,458.3125,84.72916666666667,29.416666666666668,38.491667240237184,0.4416666732480126,,,,,,,,29723.38088075799,,,0.3807362687274842,1678.0,640.78625,189.3129827124644,19.052083333333332,60.541666666666664,ABB00240,SS Moretti
2021-12-18,1805.0,23.5,82.23076923076923,29739.062915831746,89.2000013291836,616.1538461538462,0.5615384699060371,217.03077246477972,92.46153846153847,55.30769230769231,52.46153846153846,514.8461538461538,-2370.4510991522643,223306526.88184258,155.57307924129645,101.5,459.96153846153845,231.23461883027952,452.15384615384613,86.15384615384616,32.07692307692308,-2358.8830138735034,0.6307692401684251,,,,,,,,29741.485589859745,,,0.10295516510636167,1678.0,880.3046153846153,210.02306436814143,1840735.0463747154,101.3076923076923,ABB00240,SS Moretti
2021-12-19,,,,,,,,,,,,,-3276.80004882813,109996633.42657769,,,,,,,,-3276.80004882813,,,,,,,,,29742.626018618816,,,2.31481665953955e-06,,,,2471834.3944174764,,ABB00240,SS Moretti
2021-12-20,1804.1315789473683,23.5,33.026315789473685,29747.412420583136,89.2000013291836,515.8947368421053,0.5526315871822205,170.7131604385611,91.05263157894737,41.63157894736842,42.26315789473684,456.2105263157895,-1680.410281450323,13309958.29686333,135.42368622849662,101.26315789473684,472.2368421052632,214.07895055844583,454.42105263157896,85.26315789473684,30.63157894736842,-1661.0000247508312,0.4789473755579244,,,,,,,,29745.03407797509,,,0.1629276812547267,1678.0,709.1757894736842,200.04127966744818,1267618.6317525518,59.68421052631579,ABB00240,SS Moretti
2021-12-21,1804.1666666666667,23.5,29.666666666666668,29756.668470480796,89.2000013291836,586.4444444444445,0.744444455537531,222.8361144316279,95.83333333333333,64.02777777777777,53.27777777777778,500.72222222222223,-2048.0000305175813,856.5423177083334,159.0944468151364,101.36111111111111,457.47222222222223,238.78889244712056,441.94444444444446,89.38888888888889,33.166666666666664,-2031.7583636088948,0.6388888984090753,,,,,,,,29759.469308242275,,,0.1320988711111871,1678.0,894.0011111111112,210.10831603610106,10.478515625,85.72222222222223,ABB00240,SS Moretti
2021-12-22,,,,,,,,,,,,,-3276.80004882813,948.265625,,,,,,,,-3276.80004882813,,,,,,,,,29761.326032666922,,,1.4029191485557628e-06,,,,0.15625,,ABB00240,SS Moretti
2021-12-23,1802.9782608695652,23.5,30.76086956521739,29767.250934214975,89.20000132918359,518.2173913043479,0.6304347920029061,165.76304594832274,91.52173913043478,37.95652173913044,42.43478260869565,466.39130434782606,-1706.6666920979844,1051.7024739583333,133.45869764086342,100.91304347826087,464.3695652173913,211.32174227937415,453.2173913043478,85.56521739130434,30.304347826086957,-1687.7729418164456,0.5869565304854641,,,,,,,,29764.15471563111,,,0.2076223116989695,1678.0,712.055652173913,197.60880030282414,10.552734375,51.82608695652174,ABB00240,SS Moretti
2021-12-24,1805.3870967741937,23.5,31.951612903225808,29780.752867461433,89.2000013291836,527.3548387096774,0.6870967844320884,167.80000250041493,91.74193548387096,38.016129032258064,41.96774193548387,467.03225806451616,-1160.5333506266295,1922.1283854166668,134.27096974272877,101.0,459.19354838709677,210.17258377697672,452.03225806451616,85.3225806451613,27.612903225806452,-1136.7729336059049,0.6580645259349579,,,,,,,,29783.35838387664,,,0.2563976918905458,1678.0,704.2187096774193,202.1200306782006,13.905729166666665,60.32258064516129,ABB00240,SS Moretti
