Timestamp,Longitude,Speed [km/h],Heading [Degrees],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Max Fuel Usage [L],SMH,Aftercooler Temperature [Deg. C],Fuel_Press,Fuel_Rate,Inlet Air Temperature [Deg. C],Coolant_Temp,Oil Filter Differential Pressure [kPa],Fuel Filter Differential Pressure [kPa],Batt,Load,Total Operating Hours [Hours],Total_Fuel,Left Air Filter Restriction [kPa],RPM,EXH_R,Oil_Press,Boost,Throttle Position [%],Oil_Temp,Crank_Press,Turbo Outlet Pressure (absolute) [kPa],EXH_L,Right Air Filter Restriction [kPa],DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-01-16,,,,,,,,28706.602300714985,29.545454545454547,527.6818181818181,91.6227286380123,-2387.939059973312,82.0909090909091,76.63636363636364,21.772727272727273,23.318181818181817,22.0,28707.906244930273,569574.558735218,0.6090909181670713,1804.909090909091,364.6363636363636,457.90909090909093,27.09090909090909,89.2000013291836,89.72727272727273,-2397.3463771866623,129.5,336.3636363636364,0.7636363750154321,,,0.14144751682725631,1678.0,369.16,211.00086154398778,3.7624260901711972,28.272727272727273,ABB00239,SS Moretti
2022-01-17,,,,,,,,28715.472847139445,32.94444444444444,516.0833333333334,147.1138910810566,-2032.9166969594887,85.11111111111111,79.16666666666667,19.305555555555557,23.25,35.05555555555556,28715.446678533153,569751.5462239584,0.8944444577727051,1803.388888888889,423.72222222222223,450.6388888888889,50.77777777777778,89.2000013291836,93.55555555555556,-2047.4833638432156,153.5,440.94444444444446,0.9444444585177627,,,0.14737732248727298,1678.0,588.2322222222223,215.4406318905161,7.680989583333333,19.444444444444443,ABB00239,SS Moretti
2022-01-18,,,,,,,,28727.544463498663,34.29032258064516,514.1935483870968,150.15967965690825,-1133.4625168899092,86.2258064516129,79.38709677419355,19.322580645161292,23.403225806451612,34.645161290322584,28727.700850999277,570454.5393518518,0.9741935629037113,1804.6290322580646,429.5483870967742,447.0483870967742,51.20967741935484,89.2000013291836,94.35483870967742,-1159.6646006136841,153.3548387096774,448.96774193548384,0.9870967889024362,,,0.22132292838098996,1678.0,581.3458064516129,221.00342439654705,12.436921296296836,21.225806451612904,ABB00239,SS Moretti
2022-01-19,,,,,,,,28735.391572750534,,,,-3276.80004882813,,,,,,,570648.4429012346,,,,,,,,-3276.80004882813,,,,,,0.0019177905353444658,,,,0.06790123456691315,,ABB00239,SS Moretti
2022-01-20,,,,,,,,28738.423599586928,30.75,534.8333333333334,44.14166732442876,-2448.2958698157877,80.91666666666667,75.75,24.208333333333332,23.416666666666668,11.75,28738.402536974594,570688.6475778314,0.7833333450059096,1804.9166666666667,264.5,463.0833333333333,12.75,89.20000132918362,88.5,-2457.304203283356,114.70833333333333,268.25,0.7666666780908903,,,0.09013615516156885,1678.0,197.165,189.43681549973357,1.4249530327433604,10.416666666666666,ABB00239,SS Moretti
2022-01-21,,,,,,,,28741.465215376,,,,-3276.80004882813,,,,,,,570719.7104468598,,,,,,,,-3276.80004882813,,,,,,,,,,0.05132850241595103,,ABB00239,SS Moretti
2022-01-22,,,,,,,,28741.465215376,,,,-3276.80004882813,,,,,,,570722.1742149758,,,,,,,,-3276.80004882813,,,,,,,,,,0.05132850241595103,,ABB00239,SS Moretti
2022-01-23,,,,,,,,28741.46622145751,,,,-3276.80004882813,,,,,,,570724.6379830918,,,,,,,,-3276.80004882813,,,,,,0.0010060815124385651,,,,0.05132850241352571,,ABB00239,SS Moretti
2022-01-24,,,,,,,,28743.08754401862,32.57142857142857,523.0714285714286,145.15714502015294,-2793.131291620903,84.71428571428571,78.5,18.928571428571427,23.0,32.42857142857143,28743.366062560515,570735.2407533213,1.0142857293997498,1803.7142857142858,419.42857142857144,451.14285714285717,49.07142857142857,89.2000013291836,92.28571428571429,-2798.7396250378074,151.57142857142858,436.42857142857144,1.0571428728955128,,,0.05384756472896394,1678.0,544.1514285714286,225.69269565291506,2.9344680958141303,19.285714285714285,ABB00239,SS Moretti
2022-01-25,,,,,,,,28757.212202839823,32.1063829787234,515.8723404255319,123.34255502943661,39.58510697284277,84.25531914893617,77.90425531914893,20.872340425531913,23.06382978723404,29.382978723404257,28756.91197032414,571294.4414893617,0.9893617168702976,1803.6382978723404,402.9148936170213,451.968085106383,41.47872340425532,89.20000132918359,92.53191489361703,1.0085106533258519,143.01063829787233,395.72340425531917,1.0212766109628881,,,0.3149814224050212,1678.0,493.0463829787234,213.6258525174015,16.481382978723403,19.06382978723404,ABB00239,SS Moretti
2022-01-26,,,,,,,,28780.258897219075,31.270833333333332,512.15625,130.64583528010797,38.95000058040023,83.64583333333333,78.375,24.885416666666668,23.09375,30.479166666666668,28780.75005169724,572002.328125,1.1416666836788256,1804.3645833333333,415.1041666666667,453.7083333333333,46.291666666666664,89.20000132918362,92.10416666666667,0.6208333425844712,146.73958333333334,410.3541666666667,0.9375000139698387,,,0.3097968893252225,1678.0,511.44041666666664,217.99818749976737,17.2734375,19.666666666666668,ABB00239,SS Moretti
2022-01-27,,,,,,,,28794.292620678014,31.714285714285715,513.8571428571429,136.80714489572813,-2793.2604582894946,84.14285714285714,78.92857142857143,26.071428571428573,23.071428571428573,30.857142857142858,28794.504672733245,572577.9735204646,1.2857143048729227,1805.0,418.2857142857143,451.92857142857144,44.785714285714285,89.2000013291836,92.85714285714286,-2798.8396250392975,148.07142857142858,431.85714285714283,1.0142857293997498,,,0.02620179565277188,1678.0,517.7828571428571,224.04100584753672,2.4367164454282224,15.571428571428571,ABB00239,SS Moretti
2022-01-28,-46.3076475,,,,,,,28796.178627420628,,,,-3276.80004882813,,,,,,,572588.8401548673,,,,,,,,-3276.80004882813,,,,,,1.7470314408759197e-05,,,,0.05862831858394202,,ABB00239,SS Moretti
2022-01-29,,,,,,,,28796.38709369502,27.0,530.5,30.4000004529953,-3166.4800471842336,81.0,74.0,33.5,23.0,8.0,28796.6943172493,572591.1263427394,0.900000013411045,1801.5,223.0,479.0,13.0,89.2000013291836,86.0,-3167.546713866795,110.5,246.0,0.700000010430813,,,0.004439206905468988,1678.0,134.24,192.49106365499108,0.058522801062402624,23.0,ABB00239,SS Moretti
2022-01-30,,,,,,,,28796.98970424,,,,-3276.80004882813,,,,,,,572593.3993710692,,,,,,,,-3276.80004882813,,,,,,,,,,0.05817610062755799,,ABB00239,SS Moretti
2022-01-31,,,,,,,,28796.999483375912,,,,-3276.80004882813,,,,,,,572596.1918238994,,,,,,,,-3276.80004882813,,,,,,3.1346475680038566e-05,,,,0.05817610062998332,,ABB00239,SS Moretti
2022-02-01,,,,,,,,28797.029704272,,,,-3276.80004882813,,,,,,,572598.9842767295,,,,,,,,-3276.80004882813,,,,,,,,,,0.05817610062755799,,ABB00239,SS Moretti
2022-02-02,,,,,,,,28806.67157683459,31.41025641025641,513.025641025641,139.07436104672843,-524.6914971802155,84.43589743589743,78.52564102564102,26.307692307692307,23.26923076923077,31.435897435897434,28807.034795169056,572918.1495885187,1.230769249109122,1804.576923076923,420.20512820512823,462.55128205128204,47.01282051282051,89.2000013291836,90.66666666666667,-556.240433820544,147.19230769230768,421.38461538461536,1.1923077100744612,,,0.23280562666633992,1678.0,527.494358974359,223.41195193824075,15.387561889469346,19.28205128205128,ABB00239,SS Moretti
2022-02-03,,,,,,,,28829.163640338764,29.833333333333332,515.1979166666666,96.48437643772922,38.10000056773424,83.14583333333333,76.63541666666667,32.0,23.5,23.083333333333332,28828.792246660276,573621.2161458334,1.1333333502213159,1804.5208333333333,377.6041666666667,462.78125,29.052083333333332,89.20000132918362,89.89583333333333,1.718750025611369,130.79166666666666,351.75,1.143750017043203,,,0.3478585713623943,1678.0,387.33833333333337,212.429817957801,12.7265625,26.145833333333332,ABB00239,SS Moretti
